MeasureItem	Month	Year	Category	Country	MeasureItemID	CreationDate	Representativity	ProvidedValue	ProvidedValueCode
Monthly Domestic Values	9	2019	Fossil Brown coal/Lignite	MK	B02	2024-05-29 11:56:05	100	240.4705500	
Monthly Domestic Values	8	2019	Fossil Gas	SI	B04	2024-05-29 11:56:05	100	23.1325300	
Monthly Domestic Values	3	2019	Hydro Run-of-river and poundage	CZ	B11	2024-05-29 11:56:05	100	77.2902600	
Monthly Domestic Values	4	2019	Wind Onshore	SE	B19	2024-05-29 11:56:05	100	1266.8040000	
Monthly Domestic Values	1	2019	Nuclear	BG	B14	2024-05-29 11:56:05	100	1562.2870000	
Monthly Domestic Values	6	2019	Fossil Gas	DE	B04	2024-05-29 11:56:05	100	3684.1677625	
Monthly Domestic Values	10	2019	Hydro Water Reservoir	NO	B12	2024-05-29 11:56:05	100	9787.5216500	
Monthly Domestic Values	6	2019	Hydro Water Reservoir	PL	B12	2024-05-29 11:56:05	100	13.7326300	
Monthly Domestic Values	1	2019	Fossil Oil shale	EE	B07	2024-05-29 11:56:05	100	852.5206000	
Monthly Domestic Values	12	2019	Fossil Oil shale	ES	B07	2024-05-29 11:56:05	100	0.0000000	
Monthly Domestic Values	3	2019	Biomass	DE	B01	2024-05-29 11:56:05	100	3544.2678125	
Monthly Domestic Values	11	2019	Waste	AT	B17	2024-05-29 11:56:05	100	72.0000000	
Monthly Domestic Values	8	2019	Nuclear	SI	B14	2024-05-29 11:56:05	100	502.3946000	
Monthly Domestic Values	4	2019	Hydro Water Reservoir	PT	B12	2024-05-29 11:56:05	100	151.7612000	
Monthly Domestic Values	5	2019	Fossil Gas	SK	B04	2024-05-29 11:56:05	100	222.9386000	
Monthly Domestic Values	12	2019	Solar	EE	B16	2024-05-29 11:56:05	100	1.3340000	
Monthly Domestic Values	2	2019	Wind Onshore	FR	B19	2024-05-29 11:56:05	100	2462.3550000	
Monthly Domestic Values	2	2019	Solar	PT	B16	2024-05-29 11:56:05	100	68.4056000	
Monthly Domestic Values	11	2019	Solar	HR	B16	2024-05-29 11:56:05	100	2.3200000	
Monthly Domestic Values	8	2019	Solar	GR	B16	2024-05-29 11:56:05	100	421.1830000	
Monthly Domestic Values	12	2019	Other	NL	B20	2024-05-29 11:56:05	100	2651.1537850	
Monthly Domestic Values	9	2019	Other	ES	B20	2024-05-29 11:56:05	100	37.4320000	
Monthly Domestic Values	6	2019	Fossil Coal-derived gas	IT	B03	2024-05-29 11:56:05	100	425.0750000	
Monthly Domestic Values	12	2019	Fossil Hard coal	DK	B05	2024-05-29 11:56:05	100	473.6506600	
Monthly Domestic Values	1	2019	Fossil Brown coal/Lignite	ES	B02	2024-05-29 11:56:05	100	352.1930000	
Monthly Domestic Values	4	2019	Fossil Brown coal/Lignite	GR	B02	2024-05-29 11:56:05	100	929.7760000	
Monthly Domestic Values	4	2019	Fossil Brown coal/Lignite	BA	B02	2024-05-29 11:56:05	100	28.0681600	
Monthly Domestic Values	8	2019	Hydro Pumped Storage	AT	B10	2024-05-29 11:56:05	100	350.6778000	
Monthly Domestic Values	6	2019	Fossil Brown coal/Lignite	SI	B02	2024-05-29 11:56:05	100	296.0005800	
Monthly Domestic Values	4	2019	Other	LV	B20	2024-05-29 11:56:05	100	58.9580000	
Monthly Domestic Values	12	2019	Wind Onshore	DK	B19	2024-05-29 11:56:05	100	1161.8422700	
Monthly Domestic Values	2	2019	Hydro Run-of-river and poundage	HU	B11	2024-05-29 11:56:05	100	8.3049350	
Monthly Domestic Values	6	2019	Fossil Oil	MK	B06	2024-05-29 11:56:05	100	0.0000000	
Monthly Domestic Values	8	2019	Nuclear	CZ	B14	2024-05-29 11:56:05	100	2098.0907900	
Monthly Domestic Values	2	2019	Nuclear	SK	B14	2024-05-29 11:56:05	100	1284.6034000	
Monthly Domestic Values	9	2019	Wind Offshore	NL	B18	2024-05-29 11:56:05	100	304.6241775	
Monthly Domestic Values	11	2019	Other	CZ	B20	2024-05-29 11:56:05	100	88.3113700	
Monthly Domestic Values	3	2019	Solar	RO	B16	2024-05-29 11:56:05	100	142.0242300	
Monthly Domestic Values	6	2019	Fossil Hard coal	IT	B05	2024-05-29 11:56:05	100	1164.7990000	
Monthly Domestic Values	1	2019	Fossil Brown coal/Lignite	MK	B02	2024-05-29 11:56:05	100	386.9681700	
Monthly Domestic Values	5	2019	Hydro Pumped Storage	IT	B10	2024-05-29 11:56:05	100	250.3940000	
Monthly Domestic Values	9	2019	Nuclear	FI	B14	2024-05-29 11:56:05	100	1561.4119000	
Monthly Domestic Values	6	2019	Hydro Pumped Storage	SK	B10	2024-05-29 11:56:05	100	15.8982800	
Monthly Domestic Values	1	2019	Fossil Gas	ES	B04	2024-05-29 11:56:05	100	5525.9250000	
Monthly Domestic Values	8	2019	Hydro Run-of-river and poundage	IE	B11	2024-05-29 11:56:05	100	53.0117150	
Monthly Domestic Values	7	2019	Hydro Run-of-river and poundage	LU	B11	2024-05-29 11:56:05	100	0.9763425	
Monthly Domestic Values	6	2019	Fossil Gas	BE	B04	2024-05-29 11:56:05	100	1750.5009400	
Monthly Domestic Values	6	2019	Fossil Gas	RO	B04	2024-05-29 11:56:05	100	303.9140500	
Monthly Domestic Values	5	2019	Solar	GR	B16	2024-05-29 11:56:05	100	358.9193800	
Monthly Domestic Values	4	2019	Wind Offshore	ES	B18	2024-05-29 11:56:05	100	0.0000000	
Monthly Domestic Values	10	2019	Wind Onshore	ES	B19	2024-05-29 11:56:05	100	3652.2040000	
Monthly Domestic Values	3	2019	Hydro Run-of-river and poundage	BE	B11	2024-05-29 11:56:05	100	19.8072400	
Monthly Domestic Values	9	2019	Biomass	CZ	B01	2024-05-29 11:56:05	100	165.7144800	
Monthly Domestic Values	9	2019	Biomass	EE	B01	2024-05-29 11:56:05	100	48.1842000	
Monthly Domestic Values	1	2019	Fossil Hard coal	FR	B05	2024-05-29 11:56:05	100	433.6430000	
Monthly Domestic Values	1	2019	Waste	IT	B17	2024-05-29 11:56:05	100	30.6040000	
Monthly Domestic Values	4	2019	Hydro Pumped Storage	PL	B10	2024-05-29 11:56:05	100	87.7709800	
Monthly Domestic Values	3	2019	Fossil Gas	EE	B04	2024-05-29 11:56:05	100	1.1294000	
Monthly Domestic Values	1	2019	Hydro Run-of-river and poundage	EE	B11	2024-05-29 11:56:05	100	2.2925000	
Monthly Domestic Values	10	2019	Wind Onshore	AT	B19	2024-05-29 11:56:05	100	531.9340000	
Monthly Domestic Values	11	2019	Other renewable	SK	B15	2024-05-29 11:56:05	100	44.4139000	
Monthly Domestic Values	2	2019	Wind Onshore	CY	B19	2024-05-29 11:56:05	100	26.3164850	
Monthly Domestic Values	10	2019	Nuclear	BG	B14	2024-05-29 11:56:05	100	977.5160000	
Monthly Domestic Values	2	2019	Hydro Water Reservoir	HU	B12	2024-05-29 11:56:05	100	9.8217250	
Monthly Domestic Values	12	2019	Hydro Water Reservoir	RS	B12	2024-05-29 11:56:05	100	43.9900000	
Monthly Domestic Values	6	2019	Fossil Peat	EE	B08	2024-05-29 11:56:05	100	2.4133000	
Monthly Domestic Values	6	2019	Solar	CH	B16	2024-05-29 11:56:05	100	60.8447200	
Monthly Domestic Values	2	2019	Other	SE	B20	2024-05-29 11:56:05	100	1098.4830000	
Monthly Domestic Values	12	2019	Biomass	BE	B01	2024-05-29 11:56:05	100	228.4877400	
Monthly Domestic Values	4	2019	Fossil Oil	CZ	B06	2024-05-29 11:56:05	100	3.9000600	
Monthly Domestic Values	8	2019	Fossil Oil	HR	B06	2024-05-29 11:56:05	100	0.0000000	
Monthly Domestic Values	6	2019	Fossil Gas	GB	B04	2024-05-29 11:56:05	100	8505.0216150	
Monthly Domestic Values	10	2019	Hydro Water Reservoir	PT	B12	2024-05-29 11:56:05	100	175.1888000	
Monthly Domestic Values	5	2019	Fossil Coal-derived gas	ES	B03	2024-05-29 11:56:05	100	0.0000000	
Monthly Domestic Values	4	2019	Hydro Run-of-river and poundage	GB	B11	2024-05-29 11:56:05	100	198.6040000	
Monthly Domestic Values	12	2019	Hydro Pumped Storage	BG	B10	2024-05-29 11:56:05	100	54.6720000	
Monthly Domestic Values	7	2019	Solar	FR	B16	2024-05-29 11:56:05	100	1537.7150000	
Monthly Domestic Values	1	2019	Wind Onshore	SK	B19	2024-05-29 11:56:05	100	0.0000000	
Monthly Domestic Values	12	2019	Biomass	ES	B01	2024-05-29 11:56:05	100	241.8620000	
Monthly Domestic Values	10	2019	Waste	CZ	B17	2024-05-29 11:56:05	100	13.7143800	
Monthly Domestic Values	8	2019	Fossil Oil	SI	B06	2024-05-29 11:56:05	100	0.1737200	
Monthly Domestic Values	3	2019	Fossil Gas	IT	B04	2024-05-29 11:56:05	100	9193.9920000	
Monthly Domestic Values	6	2019	Other	AT	B20	2024-05-29 11:56:05	100	15.8400000	
Monthly Domestic Values	1	2019	Fossil Coal-derived gas	PL	B03	2024-05-29 11:56:05	100	40.4531700	
Monthly Domestic Values	10	2019	Other renewable	FI	B15	2024-05-29 11:56:05	100	19.9030300	
Monthly Domestic Values	7	2019	Hydro Run-of-river and poundage	LT	B11	2024-05-29 11:56:05	100	14.1922600	
Monthly Domestic Values	4	2019	Wind Onshore	SI	B19	2024-05-29 11:56:05	100	0.4039400	
Monthly Domestic Values	10	2019	Wind Onshore	SI	B19	2024-05-29 11:56:05	100	0.3818200	
Monthly Domestic Values	6	2019	Other	SK	B20	2024-05-29 11:56:05	100	90.2860000	
Monthly Domestic Values	9	2019	Solar	BE	B16	2024-05-29 11:56:05	100	359.4774600	
Monthly Domestic Values	5	2019	Other	DE	B20	2024-05-29 11:56:05	100	265.3479125	
Monthly Domestic Values	5	2019	Hydro Water Reservoir	ES	B12	2024-05-29 11:56:05	100	1164.4160000	
Monthly Domestic Values	10	2019	Fossil Hard coal	ES	B05	2024-05-29 11:56:05	100	712.2250000	
Monthly Domestic Values	11	2019	Hydro Water Reservoir	ES	B12	2024-05-29 11:56:05	100	1946.2280000	
Monthly Domestic Values	2	2019	Biomass	PL	B01	2024-05-29 11:56:05	100	132.6544300	
Monthly Domestic Values	8	2019	Biomass	PL	B01	2024-05-29 11:56:05	100	183.3809000	
Monthly Domestic Values	2	2019	Biomass	LU	B01	2024-05-29 11:56:05	100	9.7015450	
Monthly Domestic Values	1	2019	Fossil Hard coal	NL	B05	2024-05-29 11:56:05	100	2428.8039025	
Monthly Domestic Values	10	2019	Biomass	NL	B01	2024-05-29 11:56:05	100	0.3995150	
Monthly Domestic Values	2	2019	Waste	AT	B17	2024-05-29 11:56:05	100	67.2000000	
Monthly Domestic Values	1	2019	Hydro Run-of-river and poundage	LV	B11	2024-05-29 11:56:05	100	81.1130000	
Monthly Domestic Values	3	2019	Other renewable	ES	B15	2024-05-29 11:56:05	100	78.0590000	
Monthly Domestic Values	4	2019	Hydro Run-of-river and poundage	RO	B11	2024-05-29 11:56:05	100	932.4575400	
Monthly Domestic Values	7	2019	Hydro Run-of-river and poundage	LV	B11	2024-05-29 11:56:05	100	63.3850000	
Monthly Domestic Values	2	2019	Wind Onshore	MK	B19	2024-05-29 11:56:05	100	10.7849200	
Monthly Domestic Values	2	2019	Hydro Water Reservoir	HR	B12	2024-05-29 11:56:05	100	361.0775400	
Monthly Domestic Values	8	2019	Fossil Gas	DK	B04	2024-05-29 11:56:05	100	156.9618600	
Monthly Domestic Values	4	2019	Solar	ES	B16	2024-05-29 11:56:05	100	1021.8530000	
Monthly Domestic Values	10	2019	Solar	ES	B16	2024-05-29 11:56:05	100	1111.3820000	
