MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	ProvidedValue	ProvidedValueCode	NumberOfUnits	CreationDate	UpdateDate
Inventory of Generation	9	376	FF_10MW_200MW	RO	2022	2189.00		17	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	381	Hydro_10MW_50MW	PL	2022	152.00		5	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	PL	2022	9257.00		14	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	AT	2022	1238.00		3	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	381	Hydro_10MW_50MW	GR	2022	53.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	397	Waste_Over_1MW	IE	2022	77.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	NL	2022	909.00		8	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	HU	2022	1746.00		8	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	382	Hydro_50MW_100MW	GB	2022	706.00		8	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	UA_IPS	2022	29220.00		22	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	ES	2022	10597.00		69	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	395	Biomass_Over_1MW	FR	2022	150.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	SK	2022	1940.00		8	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	381	Hydro_10MW_50MW	MK	2022	264.00		8	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	LV	2022	100.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	BE	2022	1989.20		6	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	FR	2022	63130.00		58	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	DK	2022	255.20		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	SE	2022	310.00		2	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	157	Nuclear	FI	2022	4372.00		7	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	IE	2022	2545.00		6	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	BA	2022	1684.00		7	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	PT	2022	1662.00		4	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	395	Biomass_Over_1MW	PL	2022	225.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	377	FF_200MW_400MW	UA_IPS	2022	18508.00		69	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	383	Hydro_Over_100MW	GE	2022	1300.00		5	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	DK	2022	640.00		1	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	376	FF_10MW_200MW	IT	2022	6463.00		117	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	381	Hydro_10MW_50MW	XK	2022	68.20		3	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	378	FF_over_400MW	FR	2022	8658.00		18	26-06-2023 00:00:00	26-06-2023 00:00:00
Inventory of Generation	9	381	Hydro_10MW_50MW	IE	2022	195.00		11	26-06-2023 00:00:00	26-06-2023 00:00:00
